date,volume
2017-07-22,1208
2017-07-23,2969
2017-07-24,2735
2017-07-25,2560
2017-07-26,2024
2017-07-27,1977
2017-07-28,2263
2017-07-29,2329
2017-07-30,4030
2017-07-31,3876
2017-08-01,2437
2017-08-02,1614
2017-08-03,1753
2017-08-04,1593
2017-08-05,1659
2017-08-06,2008
2017-08-07,1980
2017-08-08,2634
2017-08-09,2292
2017-08-10,2438
2017-08-11,2165
2017-08-12,2634
2017-08-13,3223
2017-08-14,2770
2017-08-15,3401
2017-08-16,2175
2017-08-17,3146
2017-08-18,2623
2017-08-19,2111
2017-08-20,3187
2017-08-21,2722
2017-08-22,2375
2017-08-23,2078
2017-08-24,2377
2017-08-25,2021
2017-08-26,1812
2017-08-27,3156
2017-08-28,2761
2017-08-29,2744
2017-08-30,3489
2017-08-31,2714
2017-09-01,1847
2017-09-02,1834
2017-09-03,3014
2017-09-04,2621
2017-09-05,2748
2017-09-06,2082
2017-09-07,1925
2017-09-08,2189
2017-09-09,2077
2017-09-10,3217
2017-09-11,2850
2017-09-12,2364
2017-09-13,2675
2017-09-14,2366
2017-09-15,1809
2017-09-16,2321
2017-09-17,3502
2017-09-18,3885
2017-09-19,4308
2017-09-20,1896
2017-09-21,1442
2017-09-22,1374
2017-09-23,1116
2017-09-24,1872
2017-09-25,2034
2017-09-26,1758
2017-09-27,1766
2017-09-28,1714
2017-09-29,1689
2017-09-30,2012
2017-10-01,2679
2017-10-02,2185
2017-10-03,2240
2017-10-04,2193
2017-10-05,2091
2017-10-06,1658
2017-10-07,1896
2017-10-08,2942
2017-10-09,2345
2017-10-10,1845
2017-10-11,2145
2017-10-12,1673
2017-10-13,2027
2017-10-14,1636
2017-10-15,2218
2017-10-16,2174
2017-10-17,2779
2017-10-18,2620
2017-10-19,2198
2017-10-20,2955
2017-10-21,3977
2017-10-22,7869
2017-10-23,3333
2017-10-24,3705
2017-10-25,4039
2017-10-26,1976
2017-10-27,1892
2017-10-28,1838
2017-10-29,3608
2017-10-30,2756
2017-10-31,3087
2017-11-01,2732
2017-11-02,1956
2017-11-03,2025
2017-11-04,1892
2017-11-05,3705
2017-11-06,2726
2017-11-07,2645
2017-11-08,3126
2017-11-09,2179
2017-11-10,1967
2017-11-11,2087
2017-11-12,4301
2017-11-13,3665
2017-11-14,4001
2017-11-15,4694
2017-11-16,1956
2017-11-17,1376
2017-11-18,1436
2017-11-19,2909
2017-11-20,2657
2017-11-21,2775
2017-11-22,2915
2017-11-23,2372
2017-11-24,2333
2017-11-25,2146
2017-11-26,4465
2017-11-27,3769
2017-11-28,3800
2017-11-29,2045
2017-11-30,1753
2017-12-01,1528
2017-12-02,1358
2017-12-03,2657
2017-12-04,2107
2017-12-05,1895
2017-12-06,2299
2017-12-07,1950
2017-12-08,2092
2017-12-09,2217
2017-12-10,4786
2017-12-11,4940
2017-12-12,2678
2017-12-13,3009
2017-12-14,2583
